성수,66,12,5882,4037,10844,25840,25458,66913,36540,280949,27967,104461,24125,42243,25668,33427,28945,32437,33641,35840,37750,35487,40947,36103,46970,36186,83326,42219,208470,51592,92811,39195,49394,22509,46710,20031,34230,18093,15355,12227,2379,7639,8,1143,0,0,0,0
건대입구,339,11,24749,3126,30707,23537,73096,45192,136908,103757,91255,89285,57995,73183,58662,81414,69325,100408,79329,112068,83369,112161,93431,116932,108302,127907,134463,166026,155105,261573,119594,207428,123478,109398,137261,94440,144370,83174,86188,51781,15194,20354,5,1666,0,0,0,0
구의(광진구청),62,4,13416,1341,25792,10991,70814,15815,130380,44549,74902,27832,39077,22363,33621,22904,35166,25148,36565,28805,33320,31070,31829,37483,34321,42848,40288,55287,50891,93956,28104,78902,21545,50684,20481,50758,17260,49446,10919,28978,1951,10126,9,153,0,0,0,0
강변(동서울터미널),18,0,9803,3838,29345,28033,99368,33030,148781,58847,112708,58071,90078,52739,87151,52926,83887,61189,82513,70581,74437,76623,74548,88963,78371,96447,83042,107865,91479,154340,73591,125838,55572,84817,52012,75477,34621,70347,13819,38563,2122,9968,4,243,1,0,0,0
잠실나루,6,2,3069,1839,12422,10501,45639,22499,62872,43182,36720,32397,28139,24738,29567,21637,29321,25633,27794,26294,29534,25430,30651,24766,33421,24130,39788,29363,39125,48008,22554,41437,16931,24798,13327,24137,8146,24751,3659,14977,582,4831,1,96,1,1,0,0
잠실(송파구청),104,3,13995,7423,51171,46833,139249,119207,208259,281759,150207,237536,105054,156505,108702,170561,122317,162890,141815,175686,154885,169974,177922,175670,206023,183680,263607,211063,366460,304611,253695,225418,229693,126845,194519,114957,163845,110453,52893,66644,6471,16924,12,515,1,0,0,0
잠실새내,18,0,5401,900,17709,8553,59461,17391,89078,31935,55152,36450,36176,28541,36722,30120,38576,32722,40799,38116,38031,42075,38450,43798,42318,50663,46898,65707,53611,104349,39466,86003,33428,49108,35506,42383,35716,40910,21541,22960,3985,8006,6,189,0,0,0,0
종합운동장,10,0,3400,1860,11461,9355,29382,20881,41426,36727,29334,27029,20382,19001,20277,18285,20718,17847,21989,20847,26052,27248,26963,24441,23975,24104,31984,28796,35922,48064,24523,40329,17035,22604,21808,21469,21134,20988,7339,13594,1068,4253,4,164,1,1,0,0
삼성(무역센터),216,1,5602,5719,8587,39100,17974,127493,26821,378832,27266,278283,27914,131650,42708,114866,55075,102170,76005,112552,92068,100302,117335,86738,136431,80251,203382,79991,348450,93026,220595,58650,159141,27026,141063,21377,99081,18278,29233,10688,4195,5281,5,1742,0,1,0,0
선릉,134,3,7405,7676,14570,46659,27190,149733,45876,475027,44587,336170,45827,143976,61273,99385,71065,91277,89488,108962,99030,90390,125062,78365,171195,73811,207714,84049,401939,102237,211856,72423,132208,38014,134512,32106,114567,28942,44513,17685,6865,7566,3,252,0,0,0,0
역삼,83,1,4327,8500,9750,38548,16391,135196,29868,397974,28302,300025,29196,124732,39830,80572,48945,66701,63625,78844,68394,68999,87403,60617,104295,56217,178448,62182,332167,77195,173560,57814,104376,28400,113316,22150,78322,19428,35363,12607,5898,4298,0,137,2,1,0,0
강남,330,8,17230,12987,26867,58425,48487,184588,80456,378961,68596,420878,70921,200209,97368,173073,126159,177366,170216,216039,169097,180809,203483,174765,227268,174630,291623,210420,431115,301515,292521,226472,235489,97022,295326,72936,314609,63765,145504,39894,27203,12993,36,348,0,0,0,0
교대(법원.검찰청),31,3,4092,7730,16830,30329,35626,77984,57587,226558,46823,196826,46217,99367,58500,87891,62053,82417,80636,88178,94619,81440,100670,75475,103475,73349,145544,87814,245869,119937,121061,81280,93613,41111,106934,35807,98263,33827,39664,19229,7783,6424,4,94,0,0,0,0
서초,2,0,1388,6034,7283,19302,14946,48892,24883,141742,26352,106906,20935,49924,30421,42584,27838,31929,38785,33168,38560,34424,43864,26868,51095,28080,70124,29016,123407,32964,59493,24988,36664,12925,42039,12127,27633,11744,9452,6958,1216,2104,2,29,0,0,0,0
방배,6,2,3153,2781,10143,11427,26301,27125,41197,80348,31970,52946,23275,30342,24887,24557,26541,25890,29614,28937,29727,27692,32174,27388,36099,28400,47261,34740,80942,45978,37560,37953,26084,24255,27061,22684,21262,24702,9733,14535,2124,4741,2,59,0,0,0,0
사당,218,14,25730,4815,50792,49347,157139,75657,210117,123399,155475,95536,99386,75132,93709,93704,102952,99588,113451,92403,115725,94011,113180,106240,113805,140139,132483,191603,170375,300058,122156,240060,107950,129409,126534,118650,125049,115283,71628,76094,12235,25315,12,1910,0,0,0,0
낙성대,104,0,11594,2324,27126,11041,89675,18889,143983,46982,92385,39180,47609,30014,41947,26983,45246,31142,46119,34354,40925,35945,40788,40964,43469,46426,52236,59550,64598,101640,36830,104861,27538,65841,24659,63127,21239,66236,12124,43189,2100,13814,3,264,0,0,0,0
서울대입구(관악구청),4257,33,29889,2949,44578,17276,146181,28281,209064,73360,140095,73778,78558,59875,72811,57579,78141,61748,87621,72457,77694,74245,80781,80354,86976,90581,100171,114207,116475,182484,72076,187144,58477,107922,59893,102465,57592,107485,29956,70125,4945,24161,6,4456,0,0,0,0
봉천,92,4,15721,2211,28582,11899,84974,11725,126010,28776,76313,24751,42766,23482,36481,25497,39542,26797,41356,29697,34928,32166,33626,39930,35382,44916,40655,54599,42057,84384,25352,82225,18827,50341,17877,49105,14316,48114,6348,30057,1121,9458,5,379,0,0,0,0
신림,338,24,41291,5773,80407,23284,243083,34120,355172,71599,211286,61589,113830,54141,98765,61455,104772,69151,103317,79240,93053,84993,92098,104483,97889,122077,108508,160655,118582,272435,82693,288901,66775,172144,64626,163385,59749,162811,34770,109651,6406,35670,13,711,0,0,0,0
신대방,148,5,23909,2567,37417,10514,99608,18709,144016,38526,92744,25303,52077,22437,42314,22797,43424,24521,42604,29295,37062,32466,34443,42633,37058,49488,40593,64755,52095,93787,30533,96982,22216,63045,17803,66937,12783,71235,6747,42756,1272,11971,1,276,1,1,0,0
구로디지털단지,148,8,40439,6037,55031,22520,154641,73916,208010,288198,134149,180191,81599,69991,74863,58807,79900,59899,83809,73895,74884,78369,78951,82391,92150,91667,130449,122445,269860,178764,148268,173608,89237,105516,77878,106905,62269,109174,31316,67337,4773,19678,9,351,0,0,0,0
대림(구로구청),487,15,46703,4863,42968,17148,93076,31450,135140,89331,98894,60357,61791,55561,55241,64504,60495,60581,63589,61554,61092,60601,62050,69350,66424,73528,78599,101269,100736,119856,59342,97247,43156,64962,36837,78273,27474,79420,14969,40960,2279,11336,8,406,0,0,0,0
신도림,3161,23,40983,6565,57323,22693,163082,50789,176718,149742,109855,93115,76690,83932,77108,84191,89150,91666,97141,96326,97090,90027,102200,98231,108896,107680,130864,135388,184885,209138,110897,187631,93345,102274,97476,95057,76417,95332,33981,69513,4345,32455,14,3745,1,0,0,0
문래,11,1,3761,2523,12212,12241,46364,31910,51444,122378,29116,61675,22770,25402,22776,23260,25836,23981,28218,25118,27404,24777,28813,25103,33210,27143,49246,32634,104606,52788,45535,46812,27803,25671,26795,23316,22821,21061,9675,14886,1736,4537,4,156,0,1,0,0
영등포구청,42,1,7096,3395,16239,14935,52931,41439,63371,144719,38189,68531,29966,34595,32396,31068,34436,32169,36869,36301,37098,35069,39221,35306,42755,36690,61847,42803,127919,70235,51301,55450,35345,31428,35619,29359,29244,27602,11799,18968,2047,6551,2,207,0,0,0,0
당산,15,2,14176,5444,38121,23057,109222,45912,140364,130984,85602,66125,59235,39808,59516,41197,60291,44259,61329,49791,55582,50005,55101,55638,59998,64850,83246,89561,124000,143897,69000,128962,46540,80319,46379,77614,39718,76258,21279,49127,3504,13431,8,525,0,0,0,0
합정,177,5,13742,5277,26014,27575,64658,56828,90019,154895,61299,105859,46969,66472,50983,65289,57656,74746,65499,84368,67639,80933,73857,80537,86364,91778,116326,111843,183112,167578,119677,137346,95091,69389,115925,55461,111684,50755,59179,35314,10073,11956,14,362,0,0,0,0
홍대입구,2244,34,48257,5547,48045,24847,88671,43242,113251,151060,86765,153799,80138,120985,89908,145315,102514,188679,117466,217262,125542,213794,148300,214100,178560,224773,223654,256352,274865,327719,218160,275417,207367,151921,260104,120241,289676,102065,155158,76619,19655,26499,19,2623,0,0,0,0
신촌,87,3,10882,3698,16918,17267,40722,42499,59582,103940,44552,125607,44885,85311,56683,84376,72698,89782,82259,106026,79971,89402,92832,86114,105305,86930,130759,107950,130891,150837,98174,121829,100193,62115,109337,49071,118517,44246,59238,32221,9617,10458,15,240,0,0,0,0
이대,29,4,2949,1861,6574,11971,18646,13674,28274,42796,19292,44247,15901,36385,21534,35411,31439,41113,34160,40893,32618,35838,39577,35883,49028,34114,58930,34608,51685,40463,34243,33923,27289,19341,30775,17365,22309,17610,7017,13262,953,4538,3,98,0,0,0,0
아현,14,0,4365,1043,9517,7680,26197,8561,40019,18911,24227,14695,18671,11131,18052,10369,19360,12189,18638,13512,16889,14025,17249,16073,18572,18818,22254,22368,22144,32329,13164,28647,9627,18476,7812,18551,5319,18710,2573,13179,441,4030,0,62,0,0,0,0
충정로(경기대입구),46,2,4879,1375,9459,10218,23922,23849,35077,108516,22553,53821,17617,20363,20036,16806,20486,17317,21674,19869,22328,18706,23576,19404,26138,20496,36781,24582,93166,35721,31851,27452,19917,18161,18612,18015,13293,18013,6096,11622,1067,3675,2,190,0,0,0,0
용답,2,0,2446,239,3160,1067,7965,1570,14989,2974,6952,1856,4703,1946,4006,2193,4392,2745,4683,3146,4069,3430,3864,4552,3990,5670,3776,6530,3892,10820,2493,8581,1667,5467,1224,6068,1071,5685,487,3965,80,1226,0,4,0,0,0,0
신답,3,0,961,93,1828,559,6917,1056,11131,2084,4188,1171,2512,1399,2198,1422,2341,1567,2337,1756,2103,1868,1934,2591,2117,3481,2150,3891,2394,9195,1437,8020,841,3694,615,4042,474,3116,185,2367,39,662,0,10,0,0,0,0
도림천,0,0,452,411,1103,716,3160,2946,3417,6015,2126,2223,1804,1383,1593,1214,2131,1925,1615,1279,2104,1584,2089,1588,2127,1884,2765,2192,3789,3082,1968,2986,1228,1800,844,1640,439,1389,215,1169,37,406,1,8,0,0,0,0
